,year,imdb,title,clean_test,binary,genre,age_rating,budget_2013$,star_rating,director,cast,writer
257,2011,tt1192628,Rango,notalk,0,Animation,PG,139818256,7.3,Gore Verbinski,2.2000000000000002,0.0
258,2011,tt0433035,Real Steel,notalk,0,Action,PG13,113925987,7.1,Shawn Levy,1.0,0.5
259,2011,tt1486185,Red Riding Hood,ok,1,Fantasy,PG13,43499013,5.4,Catherine Hardwicke,2.6000000000000001,1.0
260,2011,tt0873886,Red State,ok,1,Action,R,4142763,6.2,Kevin Smith,1.2,2.0
261,2011,tt1498569,Restless,ok,1,Drama,PG13,8285526,6.8,Gus Van Sant,1.3999999999999999,1.0
262,2011,tt1436562,Rio,notalk,0,Animation,G,93212171,7.0,Carlos Saldanha,0.59999999999999998,0.0
263,2011,tt1318514,Rise of the Planet of the Apes,notalk,0,Action,PG13,96319243,7.6,Rupert Wyatt,0.0,0
264,2011,tt1723811,Shame,notalk,0,Drama,R,6731990,7.3,Steve McQueen,0.20000000000000001,0.0
265,2011,tt1541995,Snow Flower and the Secret Fan,ok,1,Drama,PG13,6214145,6.1,Wayne Wang,1.0,1.25
266,2011,tt1596346,Soul Surfer,ok,1,Biography,PG,18642434,7.1,Sean McNamara,1.6000000000000001,1.6428571428571428
267,2011,tt0945513,Source Code,notalk,0,Mystery,PG13,33142105,7.5,Duncan Jones,0.40000000000000002,0.0
268,2011,tt0999913,Straw Dogs,ok,1,Horror,R,25892270,5.8,Rod Lurie,1.6000000000000001,1.0
269,2011,tt0978764,Sucker Punch,ok,1,Action,PG13,77676809,6.1,Zack Snyder,2.0,1.0
270,2011,tt1650062,Super 8,ok,1,Mystery,PG13,51784539,7.1,J.J. Abrams,1.0,1.0
271,2011,tt1675192,Take Shelter,ok,1,Drama,R,4919531,7.4,Jeff Nichols,1.3999999999999999,1.0
272,2011,tt1385826,The Adjustment Bureau,dubious,0,Romance,PG13,51991677,7.1,George Nolfi,1.3999999999999999,0.0
273,2011,tt0983193,The Adventures of Tintin,notalk,0,Animation,PG,134639802,7.4,Steven Spielberg,1.2,0.5
274,2011,tt1655442,The Artist,notalk,0,Comedy,PG13,16571053,8.0,Michel Hazanavicius,0.80000000000000004,0.0
275,2011,tt1412386,The Best Exotic Marigold Hotel,ok,1,Comedy,PG13,10356908,7.3,John Madden,2.6000000000000001,1.5
276,2011,tt1259521,The Cabin in the Woods,dubious,0,Horror,R,31070724,7.0,Drew Goddard,0.20000000000000001,1.0
277,2011,tt1093357,The Darkest Hour,ok,1,Action,PG13,36042039,4.9,Chris Gorak,1.2,1.0
